index,date,time,heartRate,date_time,weekday,prediction,score
133212,2024-10-21,16:33,84,2024-10-21 00:16:33,0,77.410614,1
133213,2024-10-21,16:34,66,2024-10-21 00:16:34,0,84.93785,2
133214,2024-10-21,16:35,71,2024-10-21 00:16:35,0,75.473694,0
133215,2024-10-21,16:36,74,2024-10-21 00:16:36,0,78.30296,0
133216,2024-10-21,16:37,71,2024-10-21 00:16:37,0,80.64622,1
133217,2024-10-21,16:38,77,2024-10-21 00:16:38,0,79.34616,0
133218,2024-10-21,16:39,78,2024-10-21 00:16:39,0,82.92835,0
133219,2024-10-21,16:40,70,2024-10-21 00:16:40,0,84.068115,2
133220,2024-10-21,16:41,73,2024-10-21 00:16:41,0,77.88577,0
133221,2024-10-21,16:43,71,2024-10-21 00:16:43,0,79.20807,1
133222,2024-10-21,16:45,63,2024-10-21 00:16:45,0,78.98532,2
133223,2024-10-21,16:46,70,2024-10-21 00:16:46,0,74.87162,0
133224,2024-10-21,16:47,75,2024-10-21 00:16:47,0,78.92234,0
133225,2024-10-21,16:48,81,2024-10-21 00:16:48,0,80.85126,0
133226,2024-10-21,16:49,77,2024-10-21 00:16:49,0,83.98324,1
